
"{'loss': 0.04703079164028168, 'acc': 0.9869277477264404, 'val_loss': 0.3338291049003601, 'val_acc': 0.9053447572419421, 'val_aupr': 0.9513775178810081, 'val_auc': 0.9604562907283525, 'val_f1': 0.9079851930195664, 'kfold': 5, 'epoch_count': 5}"
"{'loss': 0.043380025774240494, 'acc': 0.9884066581726074, 'val_loss': 0.31437164545059204, 'val_acc': 0.9053447572419421, 'val_aupr': 0.9481133083788786, 'val_auc': 0.9590143126442884, 'val_f1': 0.9083486963392152, 'kfold': 5, 'epoch_count': 6}"
"{'loss': 0.04064558446407318, 'acc': 0.9885426759719849, 'val_loss': 0.3764691948890686, 'val_acc': 0.9009927920576636, 'val_aupr': 0.9490150947998602, 'val_auc': 0.9572605805114173, 'val_f1': 0.9041348432973401, 'kfold': 5, 'epoch_count': 7}"
"{'loss': 0.35290786623954773, 'acc': 0.8360363245010376, 'val_loss': 0.23950515687465668, 'val_acc': 0.9041338047321186, 'val_aupr': 0.9577417681069691, 'val_auc': 0.9636302849196721, 'val_f1': 0.9055592766242465, 'kfold': 1, 'epoch_count': 1}"
"{'loss': 0.14731374382972717, 'acc': 0.9470624327659607, 'val_loss': 0.26297566294670105, 'val_acc': 0.9086211585531684, 'val_aupr': 0.9565499354401508, 'val_auc': 0.9645439953844788, 'val_f1': 0.9105669417088103, 'kfold': 1, 'epoch_count': 2}"
"{'loss': 0.0816645547747612, 'acc': 0.9739562273025513, 'val_loss': 0.28839215636253357, 'val_acc': 0.9076692956214305, 'val_aupr': 0.9554607981867125, 'val_auc': 0.9635194458415929, 'val_f1': 0.9094787361685109, 'kfold': 1, 'epoch_count': 3}"
"{'loss': 0.059308551251888275, 'acc': 0.9831361174583435, 'val_loss': 0.3042214810848236, 'val_acc': 0.9044057655697579, 'val_aupr': 0.9551818385224646, 'val_auc': 0.962345002810734, 'val_f1': 0.905294355381921, 'kfold': 1, 'epoch_count': 4}"
"{'loss': 0.04865553602576256, 'acc': 0.9866551160812378, 'val_loss': 0.3296613395214081, 'val_acc': 0.9027740005439217, 'val_aupr': 0.9516721550785469, 'val_auc': 0.960489585490695, 'val_f1': 0.9042966135724803, 'kfold': 1, 'epoch_count': 5}"
"{'loss': 0.04112016409635544, 'acc': 0.9881510734558105, 'val_loss': 0.39849981665611267, 'val_acc': 0.8946151754147402, 'val_aupr': 0.950694720124949, 'val_auc': 0.9577421299446729, 'val_f1': 0.8980665526765749, 'kfold': 1, 'epoch_count': 6}"
"{'loss': 0.03860781714320183, 'acc': 0.9886950850486755, 'val_loss': 0.38975149393081665, 'val_acc': 0.8973347837911341, 'val_aupr': 0.951913768907283, 'val_auc': 0.9584387851711589, 'val_f1': 0.900277374190992, 'kfold': 1, 'epoch_count': 7}"
"{'loss': 0.3529796898365021, 'acc': 0.8395464420318604, 'val_loss': 0.2233603447675705, 'val_acc': 0.9106487148102815, 'val_aupr': 0.9629267199675058, 'val_auc': 0.9682390853929258, 'val_f1': 0.9131526768010575, 'kfold': 2, 'epoch_count': 1}"
"{'loss': 0.14329183101654053, 'acc': 0.9489859938621521, 'val_loss': 0.21214695274829865, 'val_acc': 0.920032639738882, 'val_aupr': 0.9688606165647324, 'val_auc': 0.9724926372650585, 'val_f1': 0.922283901665345, 'kfold': 2, 'epoch_count': 2}"
"{'loss': 0.08089477568864822, 'acc': 0.9748924970626831, 'val_loss': 0.24567735195159912, 'val_acc': 0.9193526451788385, 'val_aupr': 0.9625559343920073, 'val_auc': 0.9684774308124907, 'val_f1': 0.9213214806952367, 'kfold': 2, 'epoch_count': 3}"
"{'loss': 0.060309089720249176, 'acc': 0.9825420379638672, 'val_loss': 0.25535038113594055, 'val_acc': 0.9182646538827689, 'val_aupr': 0.9616482549935055, 'val_auc': 0.9680337797839277, 'val_f1': 0.9203234787219939, 'kfold': 2, 'epoch_count': 4}"
"{'loss': 0.04880926012992859, 'acc': 0.9860607981681824, 'val_loss': 0.2728884816169739, 'val_acc': 0.9170406636746906, 'val_aupr': 0.9629485907162764, 'val_auc': 0.9685083247003108, 'val_f1': 0.9193335096535307, 'kfold': 2, 'epoch_count': 5}"
"{'loss': 0.042650315910577774, 'acc': 0.9874037504196167, 'val_loss': 0.3138565421104431, 'val_acc': 0.9121447028423773, 'val_aupr': 0.9585438402165681, 'val_auc': 0.9644583025011101, 'val_f1': 0.9147082123052548, 'kfold': 2, 'epoch_count': 6}"
"{'loss': 0.03923094645142555, 'acc': 0.9881007075309753, 'val_loss': 0.306405633687973, 'val_acc': 0.9152726778185775, 'val_aupr': 0.9587420780808148, 'val_auc': 0.9656485496522125, 'val_f1': 0.9176470588235295, 'kfold': 2, 'epoch_count': 7}"
"{'loss': 0.3655829429626465, 'acc': 0.8298570513725281, 'val_loss': 0.2377595156431198, 'val_acc': 0.9075207398340813, 'val_aupr': 0.9547207548427855, 'val_auc': 0.96433248024915, 'val_f1': 0.9077090119435397, 'kfold': 3, 'epoch_count': 1}"
"{'loss': 0.15581995248794556, 'acc': 0.9440903067588806, 'val_loss': 0.2325708419084549, 'val_acc': 0.9144566843465253, 'val_aupr': 0.9626480419127497, 'val_auc': 0.9687793535967095, 'val_f1': 0.9151261638105519, 'kfold': 3, 'epoch_count': 2}"
"{'loss': 0.0818423330783844, 'acc': 0.9743314981460571, 'val_loss': 0.26941806077957153, 'val_acc': 0.9103767169862641, 'val_aupr': 0.9580251426040314, 'val_auc': 0.9654186049505916, 'val_f1': 0.9102057501021937, 'kfold': 3, 'epoch_count': 3}"
"{'loss': 0.061864741146564484, 'acc': 0.9824910163879395, 'val_loss': 0.26902249455451965, 'val_acc': 0.9121447028423773, 'val_aupr': 0.9618001461053134, 'val_auc': 0.9674778242757085, 'val_f1': 0.9131720430107527, 'kfold': 3, 'epoch_count': 4}"
"{'loss': 0.04873182624578476, 'acc': 0.9862648248672485, 'val_loss': 0.3394090533256531, 'val_acc': 0.9048007615939072, 'val_aupr': 0.9554886371306098, 'val_auc': 0.9629050454110825, 'val_f1': 0.9056603773584906, 'kfold': 3, 'epoch_count': 5}"
"{'loss': 0.041310716420412064, 'acc': 0.988202691078186, 'val_loss': 0.33772850036621094, 'val_acc': 0.9050727594179246, 'val_aupr': 0.9577654701469673, 'val_auc': 0.9643725125058255, 'val_f1': 0.9050081654872073, 'kfold': 3, 'epoch_count': 6}"
"{'loss': 0.03890344873070717, 'acc': 0.988236665725708, 'val_loss': 0.387043833732605, 'val_acc': 0.898952808377533, 'val_aupr': 0.9520171909953925, 'val_auc': 0.9592080184092144, 'val_f1': 0.9002550677943348, 'kfold': 3, 'epoch_count': 7}"
"{'loss': 0.3616347908973694, 'acc': 0.8312849402427673, 'val_loss': 0.24166876077651978, 'val_acc': 0.9023527811777505, 'val_aupr': 0.954082246342377, 'val_auc': 0.9627427739547084, 'val_f1': 0.9009928295642581, 'kfold': 4, 'epoch_count': 1}"
"{'loss': 0.1487739533185959, 'acc': 0.9470311403274536, 'val_loss': 0.2368808537721634, 'val_acc': 0.9139126886984904, 'val_aupr': 0.9594937032676301, 'val_auc': 0.9674739148905305, 'val_f1': 0.9143552969828169, 'kfold': 4, 'epoch_count': 2}"
"{'loss': 0.08557049930095673, 'acc': 0.9732945561408997, 'val_loss': 0.2801576852798462, 'val_acc': 0.909968720250238, 'val_aupr': 0.9523539709568519, 'val_auc': 0.962920732943839, 'val_f1': 0.9113313688722208, 'kfold': 4, 'epoch_count': 3}"
"{'loss': 0.06384804844856262, 'acc': 0.981437087059021, 'val_loss': 0.282380610704422, 'val_acc': 0.9084727322181423, 'val_aupr': 0.9576974178921795, 'val_auc': 0.9644416180539005, 'val_f1': 0.9090171691226173, 'kfold': 4, 'epoch_count': 4}"
"{'loss': 0.05274106189608574, 'acc': 0.9853128790855408, 'val_loss': 0.29825320839881897, 'val_acc': 0.9065687474500204, 'val_aupr': 0.9497248798804999, 'val_auc': 0.9603227315317129, 'val_f1': 0.9069483949613978, 'kfold': 4, 'epoch_count': 5}"
